crop,season,year,count
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2021,7170
Tomato,Rabi,2021,946
Soybean (bhat),Rabi,2021,1919
Brinjal,Rabi,2021,1296
Maize (Makka),Rabi,2021,1479
Sorghum (Jowar/Great Millet),Zaid,2022,41
Cotton (Kapas),Kharif,2010,5546
Other Named Crops,Kharif,2010,5959
Soybean (bhat),Kharif,2010,1694
Turmeric,Kharif,2020,647
Onion,Kharif,2010,937
Groundnut (pea nut/mung phalli),Kharif,2010,73
Other Named Crops,Zaid,2021,1462
Chillies,Zaid,2021,232
Sorghum (Jowar/Great Millet),Zaid,2021,46
Sugarcane (Noble Cane),Zaid,2021,441
Brinjal,Zaid,2021,160
Mango,Zaid,2021,98
Pigeon pea (red gram/arhar/tur),Zaid,2021,87
Groundnut (pea nut/mung phalli),Zaid,2021,301
Turmeric,Zaid,2021,106
Onion,Zaid,2021,322
Bhindi(Okra/Ladysfinger),Zaid,2021,179
Cotton (Kapas),Zaid,2021,54
Tomato,Zaid,2021,104
Watermelon,Zaid,2021,132
Maize (Makka),Zaid,2021,97
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2021,127
Soybean (bhat),Zaid,2021,144
Pomegranate,Zaid,2021,90
Wheat,Zaid,2021,27
Cotton (Kapas),Kharif,2014,34210
Other Named Crops,Kharif,2014,16620
Chillies,Kharif,2014,3976
Groundnut (pea nut/mung phalli),Kharif,2014,1019
Soybean (bhat),Kharif,2014,12680
Bhindi(Okra/Ladysfinger),Kharif,2014,1334
Maize (Makka),Kharif,2014,1334
Pomegranate,Kharif,2014,4955
Sugarcane (Noble Cane),Kharif,2014,5104
Pigeon pea (red gram/arhar/tur),Kharif,2014,1743
Mango,Kharif,2014,531
Tomato,Kharif,2014,2914
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2014,854
Onion,Kharif,2014,5124
Turmeric,Zaid,2016,928
Pigeon pea (red gram/arhar/tur),Zaid,2016,1617
Sugarcane (Noble Cane),Zaid,2016,1215
Chillies,Zaid,2016,1771
Other Named Crops,Zaid,2016,6855
Mango,Zaid,2016,452
Cotton (Kapas),Zaid,2016,2925
Brinjal,Zaid,2016,1964
Bhindi(Okra/Ladysfinger),Zaid,2016,1665
Pomegranate,Zaid,2016,1308
Soybean (bhat),Zaid,2016,1579
Watermelon,Zaid,2016,354
Onion,Zaid,2016,2307
Groundnut (pea nut/mung phalli),Zaid,2016,871
Brinjal,Kharif,2014,2739
Turmeric,Kharif,2014,1262
Wheat,Kharif,2022,214
Soybean (bhat),Kharif,2022,7469
Pigeon pea (red gram/arhar/tur),Kharif,2022,1234
Cotton (Kapas),Kharif,2022,10518
Other Named Crops,Kharif,2022,6091
Chillies,Kharif,2022,818
Brinjal,Kharif,2022,577
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2022,729
Onion,Kharif,2022,1183
Sorghum (Jowar/Great Millet),Kharif,2022,202
Turmeric,Kharif,2022,1048
Tomato,Kharif,2022,793
Maize (Makka),Kharif,2022,722
Groundnut (pea nut/mung phalli),Kharif,2022,187
Sugarcane (Noble Cane),Kharif,2022,1230
Bhindi(Okra/Ladysfinger),Kharif,2022,314
Pomegranate,Kharif,2022,254
Tomato,Zaid,2023,156
Maize (Makka),Zaid,2023,221
Other Named Crops,Zaid,2023,1433
Brinjal,Zaid,2023,185
Sugarcane (Noble Cane),Zaid,2023,732
Onion,Zaid,2023,242
Turmeric,Zaid,2023,93
Cotton (Kapas),Zaid,2023,766
Soybean (bhat),Zaid,2023,432
Groundnut (pea nut/mung phalli),Zaid,2023,136
Chillies,Zaid,2023,189
Watermelon,Rabi,2009,253
Sorghum (Jowar/Great Millet),Kharif,2014,808
Mango,Zaid,2023,128
Bhindi(Okra/Ladysfinger),Zaid,2023,174
Pigeon pea (red gram/arhar/tur),Zaid,2023,124
Pomegranate,Zaid,2023,106
Watermelon,Kharif,2022,43
Cotton (Kapas),Zaid,2012,898
Pigeon pea (red gram/arhar/tur),Zaid,2012,15
Wheat,Zaid,2012,6
Other Named Crops,Zaid,2012,1179
Pigeon pea (red gram/arhar/tur),Rabi,2019,5406
Sugarcane (Noble Cane),Rabi,2019,3536
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2019,6979
Onion,Rabi,2019,8337
Other Named Crops,Rabi,2019,16357
Brinjal,Rabi,2019,2341
Wheat,Rabi,2019,5203
Cotton (Kapas),Rabi,2019,5602
Maize (Makka),Rabi,2019,2762
Sorghum (Jowar/Great Millet),Rabi,2019,2247
Turmeric,Rabi,2019,1657
Wheat,Kharif,2014,509
Tomato,Zaid,2012,49
Chillies,Rabi,2019,1670
Wheat,Kharif,2019,287
Watermelon,Zaid,2018,186
Wheat,Zaid,2018,54
Other Named Crops,Rabi,2014,35455
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2014,10435
Tomato,Rabi,2014,3962
Wheat,Rabi,2014,7186
Groundnut (pea nut/mung phalli),Rabi,2014,5816
Chillies,Rabi,2014,6816
Pigeon pea (red gram/arhar/tur),Rabi,2014,5994
Sugarcane (Noble Cane),Rabi,2014,13880
Watermelon,Rabi,2014,3046
Onion,Rabi,2014,13149
Bhindi(Okra/Ladysfinger),Rabi,2014,3215
Brinjal,Rabi,2014,6642
Bhindi(Okra/Ladysfinger),Rabi,2019,1462
Soybean (bhat),Rabi,2019,2130
Tomato,Rabi,2019,1505
Mango,Rabi,2019,1314
Pomegranate,Rabi,2014,8301
Soybean (bhat),Rabi,2014,3723
Cotton (Kapas),Rabi,2014,15529
Mango,Rabi,2014,2504
Sorghum (Jowar/Great Millet),Zaid,2023,62
Wheat,Zaid,2023,52
Other Named Crops,Zaid,2015,17456
Sugarcane (Noble Cane),Zaid,2015,6894
