district,block,count
JALGAON,Bhusawal,3
PUNE,Pune City,2
Mumbai Suburban,null,1
Mumbai Suburban,4441,1
NASIK,Trimbak,1
SINDHUDURG,Kankavali,1
DHULE,Bhadgaon,1
RATNAGIRI,Sangmeshwar,1
RAIGARH,Pen,1
NAGPUR,Hingna,3
YEVATMAL,null,2
PALGHAR,Mokhada,1
CHANDRAPUR,Bhadrawati,1
GADCHIROLI,Chamorshi,2
GONDIYA,Tirora,3
BULDANA,Shindkhede,1
WARDHA,Samudrapur,2
AKOLA,Chikhli,1
LATUR,,1
JALNA,DHARANGAON,1
PUNE,MANWAT,1
YEVATMAL,KHULTABAD,1
BULDANA,LAKHANI,1
BHAVNAGAR,0,1
AMRAVATI,AKOLA,1
KOLHAPUR,JATH,1
AHMADNAGAR,SOEGAON,1
JALNA,MUKTAINAGAR,1
AKOLA,TIWSA,1
AURANGABAD,ACHALPUR,1
AKOLA,,1
YEVATMAL,Wani,1
YEVATMAL,Keirao CD Block,2
BULDANA,null,1
SANGLI,null,1
SANGLI,Palus,2
CHANDRAPUR,Saoli,1
OSMANABAD,null,1
BEED,null,1
SATARA,Mahabaleshwar,1
SATARA,Khandala,1
PUNE,Mulshi,1
KOLHAPUR,Bhudargad,1
