district,year,month,count
DHULE,2009,4,52
RAIGARH,2009,4,28
SINDHUDURG,2009,4,16
BHANDARA,2009,4,54
NANDED,2009,4,57
GONDIYA,2009,4,38
HINGOLI,2009,4,16
CHANDRAPUR,2009,4,22
RATNAGIRI,2017,6,56
THANE,2018,3,53
GADCHIROLI,2018,3,58
PALGHAR,2017,6,15
RATNAGIRI,2009,4,3
WARDHA,2009,4,36
LATUR,2009,4,42
SINDHUDURG,2017,6,24
BULDANA,2009,10,97
PARBHANI,2009,10,151
LATUR,2009,10,74
AURANGABAD,2009,10,316
BEED,2009,10,102
PUNE,2009,10,29
JALNA,2009,10,144
NANDED,2009,10,179
Mumbai Suburban,2017,12,2
SANGLI,2015,3,2449
JALGAON,2015,3,3210
BULDANA,2015,3,4636
AHMADNAGAR,2015,3,5624
LATUR,2015,3,1468
DHULE,2015,3,1215
BEED,2015,3,2902
NASIK,2015,3,5360
PUNE,2015,3,2155
PARBHANI,2015,3,2144
AKOLA,2015,3,2304
SOLAPUR,2015,3,6034
AMRAVATI,2015,3,1905
BHANDARA,2015,3,359
AURANGABAD,2015,3,3174
WASHIM,2015,3,1866
SATARA,2015,3,1526
YEVATMAL,2015,3,1823
JALNA,2015,3,2484
HINGOLI,2015,3,1890
OSMANABAD,2015,3,2002
CHANDRAPUR,2018,11,175
NAGPUR,2015,3,839
NANDURBAR,2015,3,152
CHANDRAPUR,2015,3,332
KOLHAPUR,2015,3,1447
NANDED,2015,3,2640
GONDIYA,2015,3,218
WARDHA,2015,3,454
SINDHUDURG,2015,3,51
RATNAGIRI,2015,3,67
GADCHIROLI,2015,3,70
MUMBAI,2015,3,35
SOLAPUR,2018,5,1736
AURANGABAD,2018,5,1260
YEVATMAL,2018,5,1186
THANE,2018,5,127
BULDANA,2018,5,1195
HINGOLI,2018,5,908
0,2018,5,118
WARDHA,2018,5,189
NASIK,2018,5,1316
AHMADNAGAR,2018,5,2052
CHANDRAPUR,2018,5,199
RATNAGIRI,2018,5,40
AKOLA,2018,5,718
NANDED,2018,5,1327
JALGAON,2018,5,693
PARBHANI,2018,5,1210
NAGPUR,2018,5,312
JALNA,2018,5,1089
KOLHAPUR,2018,5,508
BEED,2018,5,1145
LATUR,2018,5,741
AMRAVATI,2018,5,760
WASHIM,2018,5,790
SATARA,2018,5,406
OSMANABAD,2018,5,815
PUNE,2018,5,696
DHULE,2018,5,369
GADCHIROLI,2018,5,39
SANGLI,2018,5,542
THANE,2015,3,166
NANDURBAR,2018,5,59
BHANDARA,2018,5,108
GONDIYA,2018,5,96
SOLAPUR,2012,10,569
AURANGABAD,2012,10,703
KOLHAPUR,2012,10,116
HINGOLI,2012,10,459
OSMANABAD,2012,10,311
YEVATMAL,2012,10,633
NASIK,2012,10,889
AHMADNAGAR,2012,10,877
JALNA,2012,10,729
PARBHANI,2012,10,446
AMRAVATI,2012,10,409
BHANDARA,2012,10,98
AKOLA,2012,10,440
JALGAON,2012,10,462
BEED,2012,10,561
THANE,2012,10,21
BULDANA,2012,10,826
CHANDRAPUR,2012,10,181
GONDIYA,2012,10,56
WASHIM,2012,10,413
NANDURBAR,2012,10,36
NAGPUR,2012,10,252
LATUR,2012,10,287
DHULE,2012,10,149
PUNE,2012,10,281
NANDED,2012,10,500
WARDHA,2012,10,245
SANGLI,2012,10,184
SATARA,2012,10,162
MUMBAI,2017,12,46
NANDURBAR,2018,11,31
SINDHUDURG,2018,11,14
RAIGARH,2018,3,38
Mumbai Suburban,2018,3,4
JALGAON,2009,10,91
SOLAPUR,2009,10,56
OSMANABAD,2009,10,102
GONDIYA,2009,10,7
AKOLA,2009,10,42
YEVATMAL,2009,10,102
AHMADNAGAR,2009,10,189
NASIK,2009,10,61
HINGOLI,2009,10,41
PUNE,2008,12,10
AHMADNAGAR,2008,12,9
SOLAPUR,2008,12,7
AURANGABAD,2008,12,15
AMRAVATI,2008,12,11
CHANDRAPUR,2008,12,1
WASHIM,2008,12,6
GONDIYA,2008,12,2
PARBHANI,2008,12,5
JALNA,2008,12,1
BULDANA,2008,12,10
JALGAON,2008,12,7
AKOLA,2008,12,3
SANGLI,2008,12,4
SANGLI,2009,10,60
WASHIM,2009,10,30
BHANDARA,2009,10,6
DHULE,2009,10,21
RATNAGIRI,2009,10,1
KOLHAPUR,2009,10,23
NANDURBAR,2009,10,7
NAGPUR,2009,10,16
9999,2009,10,8
WARDHA,2009,10,10
AMRAVATI,2009,10,55
SATARA,2009,10,34
CHANDRAPUR,2009,10,6
SOLAPUR,2020,6,65
BEED,2020,6,43
AURANGABAD,2020,6,60
LATUR,2020,6,27
WARDHA,2020,6,28
SINDHUDURG,2020,6,2
RATNAGIRI,2022,5,18
DHULE,2020,6,19
CHANDRAPUR,2020,6,29
PUNE,2020,6,34
NANDURBAR,2020,6,1
DHULE,2009,2,47
NAGPUR,2009,2,45
AMRAVATI,2021,2,1150
PARBHANI,2021,2,995
SOLAPUR,2021,2,1605
NANDED,2021,2,1862
BULDANA,2021,2,1674
AURANGABAD,2021,2,1263
YEVATMAL,2021,2,1383
MUMBAI,2021,2,42
NASIK,2021,2,1363
BEED,2021,2,1046
KOLHAPUR,2021,2,471
NAGPUR,2021,2,564
AHMADNAGAR,2021,2,1542
AKOLA,2021,2,929
OSMANABAD,2021,2,658
SANGLI,2021,2,445
DHULE,2021,2,424
HINGOLI,2021,2,794
JALNA,2021,2,1047
PUNE,2021,2,654
JALGAON,2021,2,765
LATUR,2021,2,853
WASHIM,2021,2,1248
THANE,2021,2,55
GONDIYA,2021,2,116
SATARA,2021,2,368
WARDHA,2021,2,329
CHANDRAPUR,2021,2,270
BHANDARA,2021,2,137
NANDURBAR,2021,2,88
RAIGARH,2021,2,55
NANDED,2010,7,195
PARBHANI,2010,7,127
SATARA,2010,7,70
AHMADNAGAR,2010,7,258
WASHIM,2010,7,209
NASIK,2010,7,263
BHANDARA,2018,11,83
0,2018,11,40
RAIGARH,2018,11,19
SOLAPUR,2010,7,101
LATUR,2010,7,74
WARDHA,2010,7,53
JALGAON,2010,7,202
NAGPUR,2010,7,73
AMRAVATI,2010,7,124
AURANGABAD,2010,7,263
YEVATMAL,2010,7,172
JALNA,2010,7,180
DHULE,2010,7,56
AKOLA,2010,7,103
BULDANA,2010,7,277
BEED,2010,7,164
NANDURBAR,2010,7,12
PUNE,2010,7,104
CHANDRAPUR,2010,7,41
RAIGARH,2009,2,14
AKOLA,2022,12,526
LATUR,2022,12,540
NASIK,2022,12,722
AHMADNAGAR,2022,12,931
NAGPUR,2022,12,262
BEED,2022,12,628
OSMANABAD,2022,12,407
WARDHA,2022,12,177
JALGAON,2022,12,422
DHULE,2022,12,468
PARBHANI,2022,12,512
YEVATMAL,2022,12,959
SANGLI,2022,12,306
SOLAPUR,2022,12,821
AURANGABAD,2022,12,683
JALNA,2022,12,655
NANDED,2022,12,1075
CHANDRAPUR,2022,12,141
RAIGARH,2022,12,22
NANDED,2023,12,1053
WASHIM,2023,12,852
LATUR,2023,12,434
DHULE,2023,12,241
BHANDARA,2023,12,121
AURANGABAD,2023,12,615
OSMANABAD,2023,12,440
PUNE,2023,12,229
SOLAPUR,2023,12,770
AHMADNAGAR,2023,12,791
AMRAVATI,2023,12,567
JALNA,2023,12,498
AKOLA,2021,11,1040
BULDANA,2021,11,1441
PUNE,2021,11,482
YEVATMAL,2021,11,1444
AMRAVATI,2021,11,975
PARBHANI,2021,11,867
AHMADNAGAR,2021,11,1165
WARDHA,2021,11,420
SANGLI,2021,11,387
NAGPUR,2021,11,427
SOLAPUR,2021,11,1376
NANDED,2021,11,1982
WASHIM,2021,11,1161
JALNA,2021,11,757
SATARA,2021,11,364
AURANGABAD,2021,11,833
RATNAGIRI,2021,11,49
NASIK,2021,11,935
NASIK,2023,12,573
YEVATMAL,2023,12,1149
JALGAON,2023,12,459
BULDANA,2023,12,1014
BEED,2023,12,652
NAGPUR,2023,12,330
PARBHANI,2023,12,549
AKOLA,2023,12,566
HINGOLI,2023,12,453
CHANDRAPUR,2023,12,190
HINGOLI,2022,12,440
RATNAGIRI,2022,12,22
AMRAVATI,2022,12,787
PUNE,2022,12,337
BULDANA,2022,12,1006
WASHIM,2022,12,742
WASHIM,2021,4,527
SANGLI,2021,4,247
AHMADNAGAR,2021,4,761
NASIK,2021,4,553
AURANGABAD,2021,4,473
NANDED,2021,4,661
WARDHA,2021,4,100
BULDANA,2021,4,571
LATUR,2021,4,355
JALNA,2021,4,394
SOLAPUR,2021,4,701
PARBHANI,2021,4,437
AMRAVATI,2021,4,518
PUNE,2021,4,383
CHANDRAPUR,2021,4,109
JALGAON,2021,11,657
OSMANABAD,2021,11,625
DHULE,2021,11,240
HINGOLI,2021,11,684
BEED,2021,11,899
THANE,2021,11,55
BHANDARA,2021,11,143
NANDURBAR,2021,11,66
KOLHAPUR,2021,11,341
LATUR,2021,11,722
CHANDRAPUR,2021,11,293
RAIGARH,2021,11,34
AMRAVATI,2020,11,460
JALNA,2020,11,497
